Uploaded_variation,Location,SYMBOL,Gene,GO
rs6730157,2:135149518-135149518,RAB3GAP1,ENSG00000115839,"GO:0005085:guanyl-nucleotide_exchange_factor_activity,GO:0005096:GTPase_activator_activity,GO:0005515:protein_binding,GO:0005737:cytoplasm,GO:0005783:endoplasmic_reticulum,GO:0005789:endoplasmic_reticulum_membrane,GO:0005794:Golgi_apparatus,GO:0005811:lipid_droplet,GO:0005829:cytosol,GO:0007420:brain_development,GO:0021854:hypothalamus_development,GO:0031267:small_GTPase_binding,GO:0032991:protein-containing_complex,GO:0034389:lipid_droplet_organization,GO:0043010:camera-type_eye_development,GO:0043087:regulation_of_GTPase_activity,GO:0043547:positive_regulation_of_GTPase_activity,GO:0048172:regulation_of_short-term_neuronal_synaptic_plasticity,GO:0060079:excitatory_postsynaptic_potential,GO:0060325:face_morphogenesis,GO:0061646:positive_regulation_of_glutamate_neurotransmitter_secretion_in_response_to_membrane_depolarization,GO:0070062:extracellular_exosome,GO:0071782:endoplasmic_reticulum_tubular_network,GO:0097051:establishment_of_protein_localization_to_endoplasmic_reticulum_membrane,GO:0098794:postsynapse,GO:1903061:positive_regulation_of_protein_lipidation,GO:1903233:regulation_of_calcium_ion-dependent_exocytosis_of_neurotransmitter,GO:1903373:positive_regulation_of_endoplasmic_reticulum_tubular_network_organization,GO:2000786:positive_regulation_of_autophagosome_assembly"
rs1375131,2:135197227-135197227,ZRANB3,ENSG00000121988,"GO:0000166:nucleotide_binding,GO:0003676:nucleic_acid_binding,GO:0003824:catalytic_activity,GO:0004386:helicase_activity,GO:0004518:nuclease_activity,GO:0004519:endonuclease_activity,GO:0004520:endodeoxyribonuclease_activity,GO:0005515:protein_binding,GO:0005524:ATP_binding,GO:0005634:nucleus,GO:0005654:nucleoplasm,GO:0005694:chromosome,GO:0006281:DNA_repair,GO:0006338:chromatin_remodeling,GO:0006974:cellular_response_to_DNA_damage_stimulus,GO:0008152:metabolic_process,GO:0009411:response_to_UV,GO:0016787:hydrolase_activity,GO:0031297:replication_fork_processing,GO:0036292:DNA_rewinding,GO:0036310:ATP-dependent_DNA/DNA_annealing_activity,GO:0043596:nuclear_replication_fork,GO:0045910:negative_regulation_of_DNA_recombination,GO:0046872:metal_ion_binding,GO:0048478:replication_fork_protection,GO:0070530:K63-linked_polyubiquitin_modification-dependent_protein_binding,GO:0090305:nucleic_acid_phosphodiester_bond_hydrolysis,GO:0140658:ATP-dependent_chromatin_remodeler_activity"
rs935613,2:135265228-135265228,ZRANB3,ENSG00000121988,"GO:0000166:nucleotide_binding,GO:0003676:nucleic_acid_binding,GO:0003824:catalytic_activity,GO:0004386:helicase_activity,GO:0004518:nuclease_activity,GO:0004519:endonuclease_activity,GO:0004520:endodeoxyribonuclease_activity,GO:0005515:protein_binding,GO:0005524:ATP_binding,GO:0005634:nucleus,GO:0005654:nucleoplasm,GO:0005694:chromosome,GO:0006281:DNA_repair,GO:0006338:chromatin_remodeling,GO:0006974:cellular_response_to_DNA_damage_stimulus,GO:0008152:metabolic_process,GO:0009411:response_to_UV,GO:0016787:hydrolase_activity,GO:0031297:replication_fork_processing,GO:0036292:DNA_rewinding,GO:0036310:ATP-dependent_DNA/DNA_annealing_activity,GO:0043596:nuclear_replication_fork,GO:0045910:negative_regulation_of_DNA_recombination,GO:0046872:metal_ion_binding,GO:0048478:replication_fork_protection,GO:0070530:K63-linked_polyubiquitin_modification-dependent_protein_binding,GO:0090305:nucleic_acid_phosphodiester_bond_hydrolysis,GO:0140658:ATP-dependent_chromatin_remodeler_activity"
rs2016636,2:135301250-135301250,ZRANB3,ENSG00000121988,"GO:0000166:nucleotide_binding,GO:0003676:nucleic_acid_binding,GO:0003824:catalytic_activity,GO:0004386:helicase_activity,GO:0004518:nuclease_activity,GO:0004519:endonuclease_activity,GO:0004520:endodeoxyribonuclease_activity,GO:0005515:protein_binding,GO:0005524:ATP_binding,GO:0005634:nucleus,GO:0005654:nucleoplasm,GO:0005694:chromosome,GO:0006281:DNA_repair,GO:0006338:chromatin_remodeling,GO:0006974:cellular_response_to_DNA_damage_stimulus,GO:0008152:metabolic_process,GO:0009411:response_to_UV,GO:0016787:hydrolase_activity,GO:0031297:replication_fork_processing,GO:0036292:DNA_rewinding,GO:0036310:ATP-dependent_DNA/DNA_annealing_activity,GO:0043596:nuclear_replication_fork,GO:0045910:negative_regulation_of_DNA_recombination,GO:0046872:metal_ion_binding,GO:0048478:replication_fork_protection,GO:0070530:K63-linked_polyubiquitin_modification-dependent_protein_binding,GO:0090305:nucleic_acid_phosphodiester_bond_hydrolysis,GO:0140658:ATP-dependent_chromatin_remodeler_activity"
rs6709525,2:135403522-135403522,ZRANB3,ENSG00000121988,"GO:0000166:nucleotide_binding,GO:0003676:nucleic_acid_binding,GO:0003824:catalytic_activity,GO:0004386:helicase_activity,GO:0004518:nuclease_activity,GO:0004519:endonuclease_activity,GO:0004520:endodeoxyribonuclease_activity,GO:0005515:protein_binding,GO:0005524:ATP_binding,GO:0005634:nucleus,GO:0005654:nucleoplasm,GO:0005694:chromosome,GO:0006281:DNA_repair,GO:0006338:chromatin_remodeling,GO:0006974:cellular_response_to_DNA_damage_stimulus,GO:0008152:metabolic_process,GO:0009411:response_to_UV,GO:0016787:hydrolase_activity,GO:0031297:replication_fork_processing,GO:0036292:DNA_rewinding,GO:0036310:ATP-dependent_DNA/DNA_annealing_activity,GO:0043596:nuclear_replication_fork,GO:0045910:negative_regulation_of_DNA_recombination,GO:0046872:metal_ion_binding,GO:0048478:replication_fork_protection,GO:0070530:K63-linked_polyubiquitin_modification-dependent_protein_binding,GO:0090305:nucleic_acid_phosphodiester_bond_hydrolysis,GO:0140658:ATP-dependent_chromatin_remodeler_activity"
rs6735329,2:135516008-135516008,ZRANB3,ENSG00000121988,"GO:0000166:nucleotide_binding,GO:0003676:nucleic_acid_binding,GO:0003824:catalytic_activity,GO:0004386:helicase_activity,GO:0004518:nuclease_activity,GO:0004519:endonuclease_activity,GO:0004520:endodeoxyribonuclease_activity,GO:0005515:protein_binding,GO:0005524:ATP_binding,GO:0005634:nucleus,GO:0005654:nucleoplasm,GO:0005694:chromosome,GO:0006281:DNA_repair,GO:0006338:chromatin_remodeling,GO:0006974:cellular_response_to_DNA_damage_stimulus,GO:0008152:metabolic_process,GO:0009411:response_to_UV,GO:0016787:hydrolase_activity,GO:0031297:replication_fork_processing,GO:0036292:DNA_rewinding,GO:0036310:ATP-dependent_DNA/DNA_annealing_activity,GO:0043596:nuclear_replication_fork,GO:0045910:negative_regulation_of_DNA_recombination,GO:0046872:metal_ion_binding,GO:0048478:replication_fork_protection,GO:0070530:K63-linked_polyubiquitin_modification-dependent_protein_binding,GO:0090305:nucleic_acid_phosphodiester_bond_hydrolysis,GO:0140658:ATP-dependent_chromatin_remodeler_activity"
rs1219701875,2:135571317-135571320,R3HDM1,ENSG00000048991,GO:0003676:nucleic_acid_binding
rs12465802,2:135623778-135623778,R3HDM1,ENSG00000048991,GO:0003676:nucleic_acid_binding
rs62168795,2:135671796-135671796,R3HDM1,ENSG00000048991,GO:0003676:nucleic_acid_binding
rs6739713,2:135731408-135731408,-,-,-
rs13404551,2:135964425-135964425,DARS1,ENSG00000115866,"GO:0000166:nucleotide_binding,GO:0003676:nucleic_acid_binding,GO:0003723:RNA_binding,GO:0004046:aminoacylase_activity,GO:0004812:aminoacyl-tRNA_ligase_activity,GO:0004815:aspartate-tRNA_ligase_activity,GO:0005515:protein_binding,GO:0005524:ATP_binding,GO:0005737:cytoplasm,GO:0005829:cytosol,GO:0006412:translation,GO:0006418:tRNA_aminoacylation_for_protein_translation,GO:0006422:aspartyl-tRNA_aminoacylation,GO:0016020:membrane,GO:0016874:ligase_activity,GO:0017101:aminoacyl-tRNA_synthetase_multienzyme_complex,GO:0045202:synapse,GO:0065003:protein-containing_complex_assembly,GO:0070062:extracellular_exosome"
rs4954387,2:136026774-136026774,DARS1-AS1,ENSG00000231890,-
rs28815269,2:136221960-136221960,-,-,-
rs34800387,2:137009624-137009624,THSD7B,ENSG00000144229,"GO:0005515:protein_binding,GO:0005886:plasma_membrane,GO:0016020:membrane,GO:0031532:actin_cytoskeleton_reorganization"
rs192324744,2:141543366-141543366,LRP1B,ENSG00000168702,"GO:0005041:low-density_lipoprotein_particle_receptor_activity,GO:0005509:calcium_ion_binding,GO:0005515:protein_binding,GO:0005886:plasma_membrane,GO:0006897:endocytosis,GO:0006898:receptor-mediated_endocytosis,GO:0015031:protein_transport,GO:0016020:membrane,GO:0043235:receptor_complex"
rs17206992,2:154368670-154368670,GALNT13,ENSG00000144278,"GO:0000139:Golgi_membrane,GO:0004653:polypeptide_N-acetylgalactosaminyltransferase_activity,GO:0005794:Golgi_apparatus,GO:0006486:protein_glycosylation,GO:0006493:protein_O-linked_glycosylation,GO:0016020:membrane,GO:0016266:O-glycan_processing,GO:0016740:transferase_activity,GO:0016757:glycosyltransferase_activity,GO:0018242:protein_O-linked_glycosylation_via_serine,GO:0018243:protein_O-linked_glycosylation_via_threonine,GO:0030246:carbohydrate_binding,GO:0046872:metal_ion_binding"
rs77155259,2:161647730-161647730,SLC4A10,ENSG00000144290,"GO:0005452:solute:inorganic_anion_antiporter_activity,GO:0005886:plasma_membrane,GO:0006811:ion_transport,GO:0006814:sodium_ion_transport,GO:0006820:anion_transport,GO:0006821:chloride_transport,GO:0006885:regulation_of_pH,GO:0007601:visual_perception,GO:0008509:anion_transmembrane_transporter_activity,GO:0008510:sodium:bicarbonate_symporter_activity,GO:0009416:response_to_light_stimulus,GO:0009791:post-embryonic_development,GO:0015293:symporter_activity,GO:0015297:antiporter_activity,GO:0015701:bicarbonate_transport,GO:0016020:membrane,GO:0016021:integral_component_of_membrane,GO:0016323:basolateral_plasma_membrane,GO:0016324:apical_plasma_membrane,GO:0021860:pyramidal_neuron_development,GO:0022857:transmembrane_transporter_activity,GO:0030424:axon,GO:0030425:dendrite,GO:0030641:regulation_of_cellular_pH,GO:0035264:multicellular_organism_growth,GO:0035641:locomotory_exploration_behavior,GO:0035725:sodium_ion_transmembrane_transport,GO:0036477:somatodendritic_compartment,GO:0042995:cell_projection,GO:0043025:neuronal_cell_body,GO:0043204:perikaryon,GO:0043679:axon_terminus,GO:0045202:synapse,GO:0048172:regulation_of_short-term_neuronal_synaptic_plasticity,GO:0048854:brain_morphogenesis,GO:0050801:ion_homeostasis,GO:0051453:regulation_of_intracellular_pH,GO:0055085:transmembrane_transport,GO:0097440:apical_dendrite,GO:0097441:basal_dendrite,GO:0097442:CA3_pyramidal_cell_dendrite,GO:0098656:anion_transmembrane_transport,GO:0098793:presynapse,GO:0098794:postsynapse,GO:0140892:,GO:1902600:proton_transmembrane_transport"
rs2111485,2:162254026-162254026,-,-,-
rs1990760,2:162267541-162267541,IFIH1,ENSG00000115267,"GO:0000166:nucleotide_binding,GO:0002376:immune_system_process,GO:0002753:cytoplasmic_pattern_recognition_receptor_signaling_pathway,GO:0003677:DNA_binding,GO:0003723:RNA_binding,GO:0003724:RNA_helicase_activity,GO:0003725:double-stranded_RNA_binding,GO:0003727:single-stranded_RNA_binding,GO:0004386:helicase_activity,GO:0005515:protein_binding,GO:0005524:ATP_binding,GO:0005634:nucleus,GO:0005737:cytoplasm,GO:0005739:mitochondrion,GO:0005829:cytosol,GO:0008270:zinc_ion_binding,GO:0009597:detection_of_virus,GO:0009615:response_to_virus,GO:0016787:hydrolase_activity,GO:0016887:ATP_hydrolysis_activity,GO:0016925:protein_sumoylation,GO:0032727:positive_regulation_of_interferon-alpha_production,GO:0032728:positive_regulation_of_interferon-beta_production,GO:0032755:positive_regulation_of_interleukin-6_production,GO:0032760:positive_regulation_of_tumor_necrosis_factor_production,GO:0034344:regulation_of_type_III_interferon_production,GO:0039530:MDA-5_signaling_pathway,GO:0042802:identical_protein_binding,GO:0043021:ribonucleoprotein_complex_binding,GO:0045071:negative_regulation_of_viral_genome_replication,GO:0045087:innate_immune_response,GO:0046872:metal_ion_binding,GO:0050896:response_to_stimulus,GO:0051607:defense_response_to_virus,GO:0060760:positive_regulation_of_response_to_cytokine_stimulus,GO:0071360:cellular_response_to_exogenous_dsRNA,GO:0098586:cellular_response_to_virus,GO:0140374:antiviral_innate_immune_response"
rs35667974,2:162268127-162268127,IFIH1,ENSG00000115267,"GO:0000166:nucleotide_binding,GO:0002376:immune_system_process,GO:0002753:cytoplasmic_pattern_recognition_receptor_signaling_pathway,GO:0003677:DNA_binding,GO:0003723:RNA_binding,GO:0003724:RNA_helicase_activity,GO:0003725:double-stranded_RNA_binding,GO:0003727:single-stranded_RNA_binding,GO:0004386:helicase_activity,GO:0005515:protein_binding,GO:0005524:ATP_binding,GO:0005634:nucleus,GO:0005737:cytoplasm,GO:0005739:mitochondrion,GO:0005829:cytosol,GO:0008270:zinc_ion_binding,GO:0009597:detection_of_virus,GO:0009615:response_to_virus,GO:0016787:hydrolase_activity,GO:0016887:ATP_hydrolysis_activity,GO:0016925:protein_sumoylation,GO:0032727:positive_regulation_of_interferon-alpha_production,GO:0032728:positive_regulation_of_interferon-beta_production,GO:0032755:positive_regulation_of_interleukin-6_production,GO:0032760:positive_regulation_of_tumor_necrosis_factor_production,GO:0034344:regulation_of_type_III_interferon_production,GO:0039530:MDA-5_signaling_pathway,GO:0042802:identical_protein_binding,GO:0043021:ribonucleoprotein_complex_binding,GO:0045071:negative_regulation_of_viral_genome_replication,GO:0045087:innate_immune_response,GO:0046872:metal_ion_binding,GO:0050896:response_to_stimulus,GO:0051607:defense_response_to_virus,GO:0060760:positive_regulation_of_response_to_cytokine_stimulus,GO:0071360:cellular_response_to_exogenous_dsRNA,GO:0098586:cellular_response_to_virus,GO:0140374:antiviral_innate_immune_response"
rs72871627,2:162280432-162280432,IFIH1,ENSG00000115267,"GO:0000166:nucleotide_binding,GO:0002376:immune_system_process,GO:0002753:cytoplasmic_pattern_recognition_receptor_signaling_pathway,GO:0003677:DNA_binding,GO:0003723:RNA_binding,GO:0003724:RNA_helicase_activity,GO:0003725:double-stranded_RNA_binding,GO:0003727:single-stranded_RNA_binding,GO:0004386:helicase_activity,GO:0005515:protein_binding,GO:0005524:ATP_binding,GO:0005634:nucleus,GO:0005737:cytoplasm,GO:0005739:mitochondrion,GO:0005829:cytosol,GO:0008270:zinc_ion_binding,GO:0009597:detection_of_virus,GO:0009615:response_to_virus,GO:0016787:hydrolase_activity,GO:0016887:ATP_hydrolysis_activity,GO:0016925:protein_sumoylation,GO:0032727:positive_regulation_of_interferon-alpha_production,GO:0032728:positive_regulation_of_interferon-beta_production,GO:0032755:positive_regulation_of_interleukin-6_production,GO:0032760:positive_regulation_of_tumor_necrosis_factor_production,GO:0034344:regulation_of_type_III_interferon_production,GO:0039530:MDA-5_signaling_pathway,GO:0042802:identical_protein_binding,GO:0043021:ribonucleoprotein_complex_binding,GO:0045071:negative_regulation_of_viral_genome_replication,GO:0045087:innate_immune_response,GO:0046872:metal_ion_binding,GO:0050896:response_to_stimulus,GO:0051607:defense_response_to_virus,GO:0060760:positive_regulation_of_response_to_cytokine_stimulus,GO:0071360:cellular_response_to_exogenous_dsRNA,GO:0098586:cellular_response_to_virus,GO:0140374:antiviral_innate_immune_response"
rs984971,2:162368011-162368011,KCNH7,ENSG00000184611,"GO:0005216:ion_channel_activity,GO:0005242:inward_rectifier_potassium_channel_activity,GO:0005244:voltage-gated_ion_channel_activity,GO:0005249:voltage-gated_potassium_channel_activity,GO:0005267:potassium_channel_activity,GO:0005886:plasma_membrane,GO:0006811:ion_transport,GO:0006813:potassium_ion_transport,GO:0007623:circadian_rhythm,GO:0016020:membrane,GO:0034765:regulation_of_ion_transmembrane_transport,GO:0042391:regulation_of_membrane_potential,GO:0044877:protein-containing_complex_binding,GO:0055085:transmembrane_transport,GO:0071805:potassium_ion_transmembrane_transport,GO:0086011:membrane_repolarization_during_action_potential"
rs60587303,2:168190122-168190122,STK39,ENSG00000198648,"GO:0000166:nucleotide_binding,GO:0002021:response_to_dietary_excess,GO:0004672:protein_kinase_activity,GO:0004674:protein_serine/threonine_kinase_activity,GO:0005515:protein_binding,GO:0005524:ATP_binding,GO:0005634:nucleus,GO:0005654:nucleoplasm,GO:0005737:cytoplasm,GO:0005829:cytosol,GO:0005856:cytoskeleton,GO:0006468:protein_phosphorylation,GO:0006954:inflammatory_response,GO:0007165:signal_transduction,GO:0008217:regulation_of_blood_pressure,GO:0010820:positive_regulation_of_T_cell_chemotaxis,GO:0016020:membrane,GO:0016301:kinase_activity,GO:0016310:phosphorylation,GO:0016323:basolateral_plasma_membrane,GO:0016324:apical_plasma_membrane,GO:0016740:transferase_activity,GO:0018105:peptidyl-serine_phosphorylation,GO:0018107:peptidyl-threonine_phosphorylation,GO:0019898:extrinsic_component_of_membrane,GO:0019901:protein_kinase_binding,GO:0030644:cellular_chloride_ion_homeostasis,GO:0032414:positive_regulation_of_ion_transmembrane_transporter_activity,GO:0035556:intracellular_signal_transduction,GO:0035725:sodium_ion_transmembrane_transport,GO:0035865:cellular_response_to_potassium_ion,GO:0036438:maintenance_of_lens_transparency,GO:0038146:chemokine_(C-X-C_motif)_ligand_12_signaling_pathway,GO:0042116:macrophage_activation,GO:0043231:intracellular_membrane-bounded_organelle,GO:0043268:positive_regulation_of_potassium_ion_transport,GO:0044297:cell_body,GO:0046777:protein_autophosphorylation,GO:0050727:regulation_of_inflammatory_response,GO:0050801:ion_homeostasis,GO:0071476:cellular_hypotonic_response,GO:0090188:negative_regulation_of_pancreatic_juice_secretion,GO:0106310:protein_serine_kinase_activity,GO:1900745:positive_regulation_of_p38MAPK_cascade,GO:1901017:negative_regulation_of_potassium_ion_transmembrane_transporter_activity,GO:1901380:negative_regulation_of_potassium_ion_transmembrane_transport,GO:1904044:response_to_aldosterone,GO:1905408:negative_regulation_of_creatine_transmembrane_transporter_activity,GO:1990869:cellular_response_to_chemokine,GO:2000650:negative_regulation_of_sodium_ion_transmembrane_transporter_activity"
rs836589,2:172628350-172628350,-,-,-
rs4972593,2:173598126-173598126,-,-,-
rs113517532,2:176780863-176780863,LINC01117,ENSG00000224577,-
rs7582694,2:191105394-191105394,STAT4,ENSG00000138378,"GO:0000785:chromatin,GO:0000978:RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding,GO:0000981:DNA-binding_transcription_factor_activity_-_RNA_polymerase_II-specific,GO:0003677:DNA_binding,GO:0003700:DNA-binding_transcription_factor_activity,GO:0005515:protein_binding,GO:0005634:nucleus,GO:0005654:nucleoplasm,GO:0005737:cytoplasm,GO:0005829:cytosol,GO:0006355:regulation_of_DNA-templated_transcription,GO:0006357:regulation_of_transcription_by_RNA_polymerase_II,GO:0006952:defense_response,GO:0007165:signal_transduction,GO:0007259:receptor_signaling_pathway_via_JAK-STAT,GO:0019221:cytokine-mediated_signaling_pathway,GO:0042127:regulation_of_cell_population_proliferation,GO:0042802:identical_protein_binding,GO:0043434:response_to_peptide_hormone,GO:0045944:positive_regulation_of_transcription_by_RNA_polymerase_II,GO:0090575:RNA_polymerase_II_transcription_regulator_complex"
rs926169,2:203858029-203858029,CTLA4,ENSG00000163599,"GO:0006955:immune_response,GO:0016020:membrane,GO:0042129:regulation_of_T_cell_proliferation"
rs3087243,2:203874196-203874196,CTLA4,ENSG00000163599,"GO:0002250:adaptive_immune_response,GO:0002376:immune_system_process,GO:0005515:protein_binding,GO:0005794:Golgi_apparatus,GO:0005886:plasma_membrane,GO:0006955:immune_response,GO:0006974:cellular_response_to_DNA_damage_stimulus,GO:0009897:external_side_of_plasma_membrane,GO:0016020:membrane,GO:0030889:negative_regulation_of_B_cell_proliferation,GO:0042129:regulation_of_T_cell_proliferation,GO:0042130:negative_regulation_of_T_cell_proliferation,GO:0043065:positive_regulation_of_apoptotic_process,GO:0045334:clathrin-coated_endocytic_vesicle,GO:0045590:negative_regulation_of_regulatory_T_cell_differentiation,GO:0048471:perinuclear_region_of_cytoplasm,GO:0050777:negative_regulation_of_immune_response,GO:0050852:T_cell_receptor_signaling_pathway,GO:0050853:B_cell_receptor_signaling_pathway,GO:0098636:protein_complex_involved_in_cell_adhesion,GO:0110165:cellular_anatomical_entity"
rs7588550,2:212304043-212304043,ERBB4,ENSG00000178568,"GO:0000166:nucleotide_binding,GO:0000976:transcription_cis-regulatory_region_binding,GO:0001755:neural_crest_cell_migration,GO:0001934:positive_regulation_of_protein_phosphorylation,GO:0004672:protein_kinase_activity,GO:0004713:protein_tyrosine_kinase_activity,GO:0004714:transmembrane_receptor_protein_tyrosine_kinase_activity,GO:0005006:epidermal_growth_factor_receptor_activity,GO:0005154:epidermal_growth_factor_receptor_binding,GO:0005515:protein_binding,GO:0005524:ATP_binding,GO:0005576:extracellular_region,GO:0005634:nucleus,GO:0005654:nucleoplasm,GO:0005739:mitochondrion,GO:0005759:mitochondrial_matrix,GO:0005829:cytosol,GO:0005886:plasma_membrane,GO:0006468:protein_phosphorylation,GO:0006915:apoptotic_process,GO:0007165:signal_transduction,GO:0007166:cell_surface_receptor_signaling_pathway,GO:0007169:transmembrane_receptor_protein_tyrosine_kinase_signaling_pathway,GO:0007173:epidermal_growth_factor_receptor_signaling_pathway,GO:0007399:nervous_system_development,GO:0007416:synapse_assembly,GO:0007507:heart_development,GO:0007595:lactation,GO:0008284:positive_regulation_of_cell_population_proliferation,GO:0008285:negative_regulation_of_cell_population_proliferation,GO:0009880:embryonic_pattern_specification,GO:0009925:basal_plasma_membrane,GO:0014068:positive_regulation_of_phosphatidylinositol_3-kinase_signaling,GO:0016020:membrane,GO:0016021:integral_component_of_membrane,GO:0016301:kinase_activity,GO:0016310:phosphorylation,GO:0016323:basolateral_plasma_membrane,GO:0016477:cell_migration,GO:0016740:transferase_activity,GO:0018108:peptidyl-tyrosine_phosphorylation,GO:0021551:central_nervous_system_morphogenesis,GO:0021889:olfactory_bulb_interneuron_differentiation,GO:0022008:neurogenesis,GO:0030296:protein_tyrosine_kinase_activator_activity,GO:0030334:regulation_of_cell_migration,GO:0031594:neuromuscular_junction,GO:0033674:positive_regulation_of_kinase_activity,GO:0038127:ERBB_signaling_pathway,GO:0038130:ERBB4_signaling_pathway,GO:0038131:neuregulin_receptor_activity,GO:0038135:ERBB2-ERBB4_signaling_pathway,GO:0038138:ERBB4-ERBB4_signaling_pathway,GO:0042127:regulation_of_cell_population_proliferation,GO:0042531:positive_regulation_of_tyrosine_phosphorylation_of_STAT_protein,GO:0042734:presynaptic_membrane,GO:0042803:protein_homodimerization_activity,GO:0043066:negative_regulation_of_apoptotic_process,GO:0043235:receptor_complex,GO:0043552:positive_regulation_of_phosphatidylinositol_3-kinase_activity,GO:0043653:mitochondrial_fragmentation_involved_in_apoptotic_process,GO:0045165:cell_fate_commitment,GO:0045211:postsynaptic_membrane,GO:0045893:positive_regulation_of_DNA-templated_transcription,GO:0046427:positive_regulation_of_receptor_signaling_pathway_via_JAK-STAT,GO:0046777:protein_autophosphorylation,GO:0050811:GABA_receptor_binding,GO:0060045:positive_regulation_of_cardiac_muscle_cell_proliferation,GO:0060644:mammary_gland_epithelial_cell_differentiation,GO:0060749:mammary_gland_alveolus_development,GO:0061026:cardiac_muscle_tissue_regeneration,GO:0070374:positive_regulation_of_ERK1_and_ERK2_cascade,GO:0071364:cellular_response_to_epidermal_growth_factor_stimulus,GO:0072046:establishment_of_planar_polarity_involved_in_nephron_morphogenesis,GO:0098590:plasma_membrane_region,GO:0098839:postsynaptic_density_membrane,GO:0098978:glutamatergic_synapse,GO:0098982:GABA-ergic_synapse,GO:0099645:neurotransmitter_receptor_localization_to_postsynaptic_specialization_membrane,GO:2000010:positive_regulation_of_protein_localization_to_cell_surface"
rs555206121,2:217759606-217759606,DIRC3,ENSG00000231672,-
rs181176493,2:223293148-223293148,-,-,-
rs13018977,2:241338592-241338592,SEPTIN2,ENSG00000168385,"GO:0000166:nucleotide_binding,GO:0000775:chromosome_-_centromeric_region,GO:0000776:kinetochore,GO:0003924:GTPase_activity,GO:0005515:protein_binding,GO:0005525:GTP_binding,GO:0005634:nucleus,GO:0005654:nucleoplasm,GO:0005694:chromosome,GO:0005737:cytoplasm,GO:0005819:spindle,GO:0005856:cytoskeleton,GO:0005886:plasma_membrane,GO:0005929:cilium,GO:0005930:axoneme,GO:0005938:cell_cortex,GO:0005940:septin_ring,GO:0007049:cell_cycle,GO:0007224:smoothened_signaling_pathway,GO:0007283:spermatogenesis,GO:0008021:synaptic_vesicle,GO:0015629:actin_cytoskeleton,GO:0015630:microtubule_cytoskeleton,GO:0016020:membrane,GO:0017157:regulation_of_exocytosis,GO:0030154:cell_differentiation,GO:0030496:midbody,GO:0031105:septin_complex,GO:0031514:motile_cilium,GO:0032153:cell_division_site,GO:0032154:cleavage_furrow,GO:0032391:photoreceptor_connecting_cilium,GO:0042802:identical_protein_binding,GO:0042995:cell_projection,GO:0045171:intercellular_bridge,GO:0045296:cadherin_binding,GO:0051301:cell_division,GO:0060090:molecular_adaptor_activity,GO:0060170:ciliary_membrane,GO:0060271:cilium_assembly,GO:0061640:cytoskeleton-dependent_cytokinesis,GO:0070062:extracellular_exosome,GO:0097227:sperm_annulus,GO:0097730:non-motile_cilium"
rs10933559,2:241468331-241468331,FARP2,ENSG00000006607,"GO:0005085:guanyl-nucleotide_exchange_factor_activity,GO:0005737:cytoplasm,GO:0005829:cytosol,GO:0005856:cytoskeleton,GO:0007155:cell_adhesion,GO:0008092:cytoskeletal_protein_binding,GO:0016322:neuron_remodeling,GO:0016601:Rac_protein_signal_transduction,GO:0022405:hair_cycle_process,GO:0030316:osteoclast_differentiation,GO:0031532:actin_cytoskeleton_reorganization,GO:0033623:regulation_of_integrin_activation,GO:0071526:semaphorin-plexin_signaling_pathway,GO:0071800:podosome_assembly"
rs6055069,20:153643-153643,DEFB127,ENSG00000088782,"GO:0005515:protein_binding,GO:0005575:cellular_component,GO:0005576:extracellular_region,GO:0006952:defense_response,GO:0042742:defense_response_to_bacterium,GO:0045087:innate_immune_response,GO:0050829:defense_response_to_Gram-negative_bacterium,GO:0061844:antimicrobial_humoral_immune_response_mediated_by_antimicrobial_peptide"
rs2281808,20:1629905-1629905,SIRPG,ENSG00000089012,"GO:0005515:protein_binding,GO:0005886:plasma_membrane,GO:0007155:cell_adhesion,GO:0007267:cell-cell_signaling,GO:0008284:positive_regulation_of_cell_population_proliferation,GO:0008285:negative_regulation_of_cell_population_proliferation,GO:0016020:membrane,GO:0022409:positive_regulation_of_cell-cell_adhesion,GO:0035556:intracellular_signal_transduction,GO:0050766:positive_regulation_of_phagocytosis,GO:0050870:positive_regulation_of_T_cell_activation"
rs6043409,20:1635560-1635560,SIRPG,ENSG00000089012,"GO:0005515:protein_binding,GO:0005886:plasma_membrane,GO:0007155:cell_adhesion,GO:0007267:cell-cell_signaling,GO:0008284:positive_regulation_of_cell_population_proliferation,GO:0008285:negative_regulation_of_cell_population_proliferation,GO:0016020:membrane,GO:0022409:positive_regulation_of_cell-cell_adhesion,GO:0035556:intracellular_signal_transduction,GO:0050766:positive_regulation_of_phagocytosis,GO:0050870:positive_regulation_of_T_cell_activation"
rs543301155,20:4377254-4377254,-,-,-
rs13045180,20:32943738-32943738,EFCAB8,ENSG00000215529,"GO:0005509:calcium_ion_binding,GO:0005515:protein_binding"
rs11698685,20:60320788-60320788,MIR646HG,ENSG00000228340,-
rs6027506,20:60321657-60321657,MIR646HG,ENSG00000228340,-
rs67213764,21:19974842-19974842,-,-,-
rs2128344,21:20724226-20724226,LINC00320,ENSG00000224924,-
rs12482425,21:23556791-23556791,-,-,-
rs531381284,21:41956642-41956642,C2CD2,ENSG00000157617,"GO:0005634:nucleus,GO:0005829:cytosol,GO:0016020:membrane"
